Filename,Title,Cart Type,Mapper Type,ROM Banks,RAM Banks,RAM Size,ROM Size,Battery,Timer,Rumble,Sensor,Licensee,Old Licensee Code,CGB Functionality,SGB Functionality,Mask ROM Ver,Region,MD5 Hash,Weird/Bad/Missing Data
Gun Law (World) (Aftermarket) (Homebrew).gbc,GUN LAW,MBC5+RAM+Battery,MBC5,16,4,0x4000,0x40000,True,False,False,False,none,False,CGB Only,False,1,Japan,b7c5022990adb215bdfa6cb2714c34d2,False
Cadillac II (Japan).gb,CADILLAC2,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Hector,True,None,False,0,Japan,679555396bce8beab58d4b79acb966bf,False
Croc (USA).gbc,CROCBRCE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,THQ,False,CGB Only,False,0,Non-Japan (0x1),0552078f981c2ef3977f2dfeee19510a,False
Goukaku Boy Series - Koukou Nyuushi Derujun - Chuugaku Eitango 1700 (Japan).gb,CTANGO 1700,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,"UNKNOWN(b'9C',9C)",False,None,False,0,Japan,996f21d850fa8d9b8b15205493976650,True
Shengui Diguo Zhi Emo Cheng (Taiwan) (Unl).gbc,EMO  -by WS    ,MBC5+RAM+Battery,MBC5,64,4,0x4000,0x100000,True,False,False,False,Nintendo R&D1,False,Extra CGB Functions,False,0,Japan,f48db23d4efec93d401aeb888088bf87,False
"Mickey Mouse - Magic Wands (USA, Europe) (SGB Enhanced).gb",MICKEY MOUSE,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Kemco,False,None,True,0,Non-Japan (0x1),38b65d28ac0bd619f5dee5a45d5fc542,False
Game & Watch Gallery (Europe) (SGB Enhanced).gb,G&W GALLERY,MBC1+RAM+Battery,MBC1,16,1,0x800,0x40000,True,False,False,False,Nintendo R&D1,False,None,True,0,Non-Japan (0x1),e5511e9a5f0c709ba25df570eb5be41c,False
"Batman - Return of the Joker (USA, Europe).gb",BATMAN ROJ,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Sunsoft,True,None,False,0,Non-Japan (0x1),97bc907deba1e7d7c9bc72fca0310822,False
"Last Action Hero (USA, Europe).gb",LAST ACTION HERO,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Sony Imagesoft,True,None,False,0,Non-Japan (0x1),36ce150459099b9a7fccbc2ee46ac22c,False
"Tintin in Tibet (Europe) (En,Fr,De,Nl) (SGB Enhanced).gb",TINTIN AU TIBET,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,Infogrames,False,None,True,0,Non-Japan (0x1),eef71c64f1a51f5e32ab4e6e5e2cc5e8,False
Dragon Warrior III (USA).gbc,DW 3BD3E,MBC5+RAM+Battery,MBC5,256,4,0x4000,0x400000,True,False,False,False,"UNKNOWN(b'B4',B4)",False,CGB Only,False,0,Non-Japan (0x1),b74b6132326bafcd75e415ddcd9a2932,True
"Urban Strike (USA, Europe) (SGB Enhanced).gb",URBAN STRIKE,MBC1,MBC1,32,0,0x0,0x80000,False,False,False,False,"UNKNOWN(b'4S',4S)",False,None,True,0,Non-Japan (0x1),d42a0f2f9205e81cbbbe132711d69d58,True
"Ninja Boy 2 (USA, Europe).gb",NINJA BOY 2,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,Culture Brain,True,None,False,0,Non-Japan (0x1),504e1a39167c467b15d5ad56b744ad48,False
Bomb Jack (Europe).gb,BOMB JACK,ROM ONLY,ROM ONLY,2,0,0x0,0x8000,False,False,False,False,Infogrammes,True,None,False,0,Non-Japan (0x1),7615154dc9afb1a7d7d2fe63b76c68e4,False
"Bubble Bobble (USA, Europe).gb",BUBBLE BOBBLE,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Taito,True,None,False,0,Non-Japan (0x1),11c49d405eef2174d9c14682204bb458,False
"SeaQuest DSV (USA, Europe) (SGB Enhanced).gb",SQ DSV DMG,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,Nintendo,False,None,True,0,Non-Japan (0x1),af8022daa8b774c666fcc65961c8bd4a,False
Wedding Peach - Jamapii Panic (Japan) (SGB Enhanced).gb,WPGB,MBC1,MBC1,16,0,0x0,0x40000,False,False,False,False,KSS,False,None,True,0,Japan,1cb08c8447160f9757d1a48331fb05a2,False
Pro Mahjong Tsuwamono GB 2 (Japan).gbc,TUWAMONO2BMWJ,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,"UNKNOWN(b'BA',BA)",False,CGB Only,False,0,Japan,9d238ed036bb656acf9765589119f68c,True
Gekitou Power Modeller (Japan) (SGB Enhanced).gb,POWER MODELLER,MBC1+RAM+Battery,MBC1,32,1,0x800,0x80000,True,False,False,False,Capcom,False,None,True,0,Japan,255bca32093336ccbacdd185951c8727,False
Driver - You Are the Wheelman (USA).gbc,DRIVERBDRE,MBC5,MBC5,64,0,0x0,0x100000,False,False,False,False,"UNKNOWN(b'4X',4X)",False,CGB Only,False,0,Non-Japan (0x1),413e1acd7847d628364163eb2c97cecd,True
"Looney Tunes (USA, Europe).gb",LOONEY TUNES,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Sunsoft,True,None,False,0,Non-Japan (0x1),6e9dd3c1fb169da79292a1962e95a884,False
Konamic Sports in Barcelona (Japan).gb,KONAMIC SPORTS,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Ultra,True,None,False,0,Japan,a0f5378a7c89b4c423db56204cbfcc31,False
"Supreme Snowboarding (Europe) (En,Fr,De).gbc",CGB SUPREMEAXWP,MBC5,MBC5,128,0,0x0,0x200000,False,False,False,False,Infogrames,False,CGB Only,False,0,Non-Japan (0x1),b9bc4621f069f59e22eee05eeb6503cd,False
X (Japan).gb,X,MBC2+Battery,MBC2,16,1,0x100,0x40000,True,False,False,False,Nintendo,True,None,False,0,Japan,988516a3d733132af304b1c6710a923a,False
Uoozu (Japan).gb,UOOZU,MBC1,MBC1,4,0,0x0,0x10000,False,False,False,False,Towachiki,True,None,False,0,Japan,e0e45a92aaf878544de84ef4867b8595,False
Genjin Collection (Japan) (SGB Enhanced).gb,GENCOL,MBC1,MBC1,64,0,0x0,0x100000,False,False,False,False,Hudson Soft,False,None,True,0,Japan,e6e0b97c6a3b80ab2e0a323e3d21a137,False
"4 in 1 (Europe) (En,Zh) (4B-003, Sachen-Commin) (Unl).gb",gOT,MBC1,MBC1,16384,0,0x0,0x10000000,False,False,False,False,Malibu,True,None,False,115,Non-Japan (0x89),f6ce41f073f04954cd0f14fce720a03c,True
Top Gear Pocket 2 (USA).gbc,TG POCKET2A33E,MBC5+RAM+Battery,MBC5,64,1,0x800,0x100000,True,False,False,False,"UNKNOWN(b'5P',5P)",False,CGB Only,False,0,Non-Japan (0x1),7d9585c947a7637703fb8ccd6a691ed7,True
Mythri (USA) (Proto 1) (2000-08-02).gbc,MYTHRI         ,MBC5+RAM+Battery,MBC5,32,4,0x4000,0x80000,True,False,False,False,"UNKNOWN(b'\x00\x00',)",False,CGB Only,False,0,Non-Japan (0x1),60b253394d8d817afcb80b8c69be907d,True
Nekketsu Koukou Soccer-bu - World Cup Hen (Japan).gb,WORLD CUP,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Technos Japan,True,None,False,0,Japan,3593f45c94d5b612c7864e5181c7aeff,False
"World Cup USA 94 (Japan) (En,Fr,De,Es,It,Nl,Pt,Sv).gb",WORLD CUP USA 94,MBC1+RAM+Battery,MBC1,16,1,0x800,0x40000,True,False,False,False,Sunsoft,False,None,False,0,Japan,17142af806c86f45808a94550f2303d8,False
Magic Knight Rayearth (Japan) (SGB Enhanced).gb,RAYEARTH1,MBC1+RAM+Battery,MBC1,16,1,0x800,0x40000,True,False,False,False,"UNKNOWN(b'DA',DA)",False,None,True,0,Japan,06b75e657debd1568f18d369cc2422dd,True
Lemmings (Europe) (Rev A).gb,LEMMINGS,MBC1,MBC1,8,0,0x0,0x20000,False,False,False,False,Ocean,True,None,False,1,Non-Japan (0x1),33d428bd17848c4cfa7dc1b7f16644ec,False
